marketplace_sku,asin,im_sku,region,SalesChannel,level_1,Linnworks Title,linnwork's_sku_received_from,Comment  
BGR-FL3-12OZ,B07GC2YF77,BGR-FL3-12OZ,UK,Amazon.co.uk,BOXING GLOVES,BOXING GLOVES FL-3 FLORAL BLACK-12OZ,Rida Batool,
BFR-F6MGL-IT,B08N6W63XG,BFR-F6MGL,IT,Amazon.it,BUNDLES,FOCUS PAD F6 MATTE GOLDEN + BOXING BAG MITTS F6 MATTE GOLDEN,Rida Batool,
YM-PUR-D8-IT,B08WJKLVTB,YM-PUR-D8,IT,Amazon.it,YOGA STUFF,PU YOGA MAT DESIGN-D8 (19310),Rida Batool,
HGR-J11R-DE,B08FMT5RXQ,HGR-J11R,DE,Amazon.de,ABANDONED ITEMS,HEAD GUARD REX J11 RED,Rida Batool,
SSP-H1U-ES-NEW-2XL,B09L2CCZ7W,SSP-H1U-2XL,ES,Amazon.es,CLOTHING,CLOTHING SAUNA SUIT H1 BLUE-2XL,Rida Batool,
SVP-W2B-XL,B0C1NSR524,SVP-W2B-XL,UK,Amazon.co.uk,CLOTHING,SWEAT VEST WOMEN'S W2 BLACK-XL,Rida Batool,
SVP-M1AG-XL-ES,B0C1NT89SN,SVP-M1AG-XL,ES,Amazon.es,CLOTHING,SWEAT VEST MENS M1 ARMY GREEN-XL,Rida Batool,
GDR-F6MR-M-UK,B0B2KGMLV7,GDR-F6MR-M,UK,Amazon.co.uk,ABANDONED ITEMS,GROIN GUARD REX F6 MATTE RED-M,Rida Batool,
ELBOWRINGNEOPRENE-SMALL/MEDIUM,B0060TKKGY,NEP-E1R-S/M,UK,Amazon.co.uk,ABANDONED ITEMS,NEO PRENE ELBOW GRAY/BLACK-S/M,Rida Batool,
WBS-RX1G-IT-S,B093WTV6N8,WBS-RX1G-S,IT,Amazon.it,BELTS,WEIGHT LIFTING STRAP BELT RX1 GRAY-S,Rida Batool,
SGR-T1RW-M-DE,B0BX9FHWZZ,SGR-T1RW-M,DE,Amazon.de,SHIN INSTEPS,SHIN INSTEP MOLDED KING RED/WHITE-M,Rida Batool,
WAH-W4U-IT-L,B08NF71633,WAH-W4U-L,IT,Amazon.it,GYM ACCESSORIES,"GYM WRIST WRAP W4 BLUE 36""-L",Rida Batool,
HYP-SIBW-M-ES,B0C2VLXHGH,HYP-SIBW-M,ES,Amazon.es,HOSIERY ITEMS,HOSIERY SHIN INSTEP FOAM BLACK/WHITE-M,Rida Batool,
PCB-P8FGR,B08PZ175W1,PCB-P8FGR,UK,Amazon.co.uk,YOGA STUFF,YOGA 8FT POLY COTTON STRAP-GRAY (36587),Rida Batool,
BGR-F4U-12OZ,B0B3D7YZDZ,BGR-F4U-12OZ,UK,Amazon.co.uk,BOXING GLOVES,BOXING GLOVES REX F4 BLUE/BLACK-12oz,Rida Batool,
HYP-IP-IT-S,B00G7O2HT0,HYP-IP-S,IT,Amazon.it,HOSIERY ITEMS,HOSIERY INNER PINK-S,Rida Batool,
WGN-R2BN-S/M,B093H2ZWRV,WGN-R2BN-S/M,ES,Amazon.es,ABANDONED ITEMS,WEIGHT LIFTING GLOVES R2 BROWN SHORT STRAP-S/M,Rida Batool,
HYP-IS2AG-XL-DE,B0CRVVCQRX,HYP-IS2AG-XL,DE,Amazon.de,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 ARMY GREEN-XL,Rida Batool,
BFR-FL3-IT-12OZ,B07H5M3LQ3,BFR-FL3-12OZ,IT,Amazon.it,BUNDLES,BOXING GLOVES + FOCUS PAD FL-3 FLORAL BLACK-12OZ,Rida Batool,
BMR-F2SB-IT,B088RFYLY6,BMR-F2SB,IT,Amazon.it,ABANDONED ITEMS,BOXING BAG MITTS F2 SILVER BLACK NEW,Rida Batool,
KP-HYP-K5BP-S-ES,B0CS35XJ77,HYP-K5BP-S,ES,Amazon.es,HOSIERY ITEMS,HOSIERY KNEE FOAM K5 BLACK/PINK-S,Rida Batool,
MSC-T16AGB-XL-DE,B0CSKCYZLM,MSC-T16AGB-XL,DE,Amazon.de,MMA SHORTS,MMA SHORTS T16 ARMY GREEN/BLACK-XL,Rida Batool,
BFR-F15MB-14OZ,B0822XHB1W,BFR-F15MB-14OZ,UK,Amazon.co.uk,BUNDLES,BOXING GLOVE F15MB + FOCUS PAD T15 MATTE BLACK-14oz,Rida Batool,
HGL-T1W-IT-L,B00FCBMWUI,HGL-T1W-L,IT,Amazon.it,ABANDONED ITEMS,HEAD GUARD LEATHER T1 WHITE/BLACK NEW-L,Rida Batool,
WPB-RD1R-IT-L,B093WYFV32,WPB-RD1R-L,IT,Amazon.it,BELTS,WEIGHT LIFTING POWER BELT RD1 RED-L,Rida Batool,
FOCUSPAD-BLACK,B00OZT05T8,FP-T4+BM-1R,UK,Amazon.co.uk,Composites,FOCUS PAD T4 WHITE + BAG MITTS GEL RED,Rida Batool,
WBN-4DP-IT,B004XMNZC6,WDB-T7B,IT,Amazon.it,BELTS,PRO DIPPING BELT 2 LAYER BLACK,Rida Batool,
BMR-F6MU-ES,B08N1HCSQ2,BMR-F6MU,ES,Amazon.es,BOXING GLOVES,BOXING BAG MITTS F6 MATTE BLUE,Rida Batool,
HGR-T1B-IT-XL,B004X6YWWY,HGR-T1FB-XL,IT,Amazon.it,HEAD GUARDS,HEAD GUARD GRILL T1 FULL BLACK-XL,Rida Batool,
LSC-T1CPE-DE,B0C2TXCL4Z,LSC-T1CPE,DE,Amazon.de,ABANDONED ITEMS,LEG STRETCHER T1 CAMO PEACH,Rida Batool,
BFR-F6MGL-DE-14OZ,B08N6VZQ7D,BFR-F6MGL-14OZ,DE,Amazon.de,BUNDLES,FOCUS PAD F6 MATTE GOLDEN + BOXING GLOVES F6 MATTE GOLDEN-14OZ,Rida Batool,
BFR-F6MU-ES-6OZ,B08N6ZK5KS,BFR-F6MU-6OZ,ES,Amazon.es,BUNDLES,FOCUS PAD F6 MATTE BLUE + BOXING GLOVES F6 MATTE BLUE-6OZ,Rida Batool,
BMR-F15-MB-UK,B08CVN1MH6,BMR-F15MB,UK,Amazon.co.uk,BOXING GLOVES,BOXING BAG MITTS F15 MATTE BLACK,Rida Batool,
HYP-IBB-S,B0C5DQPDDJ,HYP-IBB-S,UK,Amazon.co.uk,HOSIERY ITEMS,HOSIERY INNER BLACK/BLACK-S,Rida Batool,
GGR-F6MR-XL,B08NDW1CPZ,GGR-F6MR-XL,UK,Amazon.co.uk,GRAPPLING GLOVES,GRAPPLING GLOVES F6 MATTE RED-XL,Rida Batool,
HYP-SIUW-M-DE,B0C8B7NX8L,HYP-SIUW-M,DE,Amazon.de,HOSIERY ITEMS,HOSIERY SHIN INSTEP FOAM BLUE/WHITE-M,Rida Batool,
WBE-RX3SP-ES-XS,B08V5M12RY,WBE-RX3SP-XS,ES,Amazon.es,BELTS,WEIGHT LIFTING BELT EVA CURVE RX3 SHARP PINK-XS,Rida Batool,
GGR-RF1R-IT-L,B0842VPT32,GGR-RF1R-L,IT,Amazon.it,ABANDONED ITEMS,GRAPPLING GLOVE REX AMATEUR RF1 RED-L,Rida Batool,
BMR-F6MU-IT,B08N1HCSQ2,BMR-F6MU,IT,Amazon.it,BOXING GLOVES,BOXING BAG MITTS F6 MATTE BLUE,Rida Batool,
HYP-F-B-ES-M,B01BP4CX1S,HYP-FB-M,ES,Amazon.es,ABANDONED ITEMS,HOSIERY FOREARM FOAM BLACK/GOLD-M,Rida Batool,
BFR-F6MW-ES-12OZ,B08N6V1JWY,BFR-F6MW-12OZ,ES,Amazon.es,BUNDLES,FOCUS PAD F6 MATTE WHITE + BOXING GLOVES F6 MATTE WHITE-12OZ,Rida Batool,
BPR-T2B-L/XL,B079TQVRL4,BPR-T1B-L/XL,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD BELLY T1 BLACK-L/XL,Rida Batool,
